Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1963,1.149,10.884,4.547,7.347,15.092,129.279,176.393,208.915,141.297,87.701,4.295,0.24
1964,0,0.042,4.205,0.204,0.179,187.694,289.97,242.748,106.397,18.835,0.368,0.12
1965,15.639,2.651,5.41,21.509,1.705,112.646,192.949,160.473,106.699,4.7,0.624,2.431
1966,10.714,0,18.385,1.631,27.314,41.538,233.715,117.739,122.644,3.28,48.712,17.239
1967,0.336,0,35.238,2.5,1.204,144.289,199.078,145.74,67.324,3.065,0.221,125.454
1968,7.021,7.964,38.474,12.616,0.52,56.156,272.467,219.467,132.582,14.103,3.741,2.739
1969,3.391,0.161,0.055,0,1.964,89.805,295.162,181.115,224.82,1.896,36.332,0.12
1970,8.307,0.721,12.368,1.983,23.67,266.908,155.725,356.551,243.467,11.37,0.221,0.12
1971,1.941,6.68,5.382,4.333,41.011,150.617,184.85,113.833,170.554,95.124,0.221,0.12
1972,0,0.123,0.004,1.183,2.158,121.436,177.298,304.658,51.748,1.092,15.313,2.764
1973,0.007,15.122,0.004,0.465,0.717,135.525,449.143,246.093,180.419,58.771,0.221,2.4
1974,0,1.55,0.626,0.614,18.301,56.041,146.038,236.503,41.244,139.796,1.56,0.12
1975,7.462,10.053,5.92,0,4.831,171.039,193.576,308.959,259.216,61.98,0.221,0.12
1976,3.087,0.052,7.108,25.27,9.365,99.618,263.876,167.71,177.322,0.539,80.775,0.386
1977,0.009,3.315,7.687,0.926,7.859,227.625,166.034,245.221,138.68,48.276,102.28,9.556
1978,9.747,36.023,36.75,20.565,0.074,197.142,267.387,285.603,34.57,21.599,17.487,33.894
1979,41.507,34.37,3.048,0,12.141,170.462,172.295,369.713,47.001,15.547,54.605,12.878
1980,6.814,1.375,0.69,2.062,0.12,186.323,124.921,249.854,51.021,1.381,0.254,22.719
1981,17.508,1.606,12.121,2.907,17.104,143.489,177.642,186.045,203.401,46.118,4.647,15.861
1982,66.795,12.606,3.892,3.876,11.548,113.746,237.179,155.014,98.311,46.973,22.043,0.12
1983,0.86,0.007,2.094,0.231,1.718,106.358,210.718,261.058,239.779,64.631,0.221,10.993
